Year,GEOID,county_name,LandInAcres,NumberofFarms,AvSizeFarmAcres,Population,LandInAcresPerPopulation,PercTotAcresInFarm
1997,36001,Albany County,56782,396,143,296187,0.19,0.17
2017,36001,Albany County,59564,440,135,307919,0.19,0.18
1992,36001,Albany County,57889,391,148,296913,0.19,0.17
2007,36001,Albany County,61030,498,123,303858,0.20,0.18
2012,36001,Albany County,63394,494,128,305776,0.21,0.19
2002,36001,Albany County,69063,484,143,298283,0.23,0.21
1987,36001,Albany County,67754,460,147,290843,0.23,0.20
1974,36001,Albany County,75242,448,168,289148,0.26,0.22
1982,36001,Albany County,82788,509,163,287159,0.29,0.25
1978,36001,Albany County,82975,510,163,286918,0.29,0.25
1950,36001,Albany County,160858,1453,111,221315,0.73,0.48
1940,36001,Albany County,206036,2171,95,221315,0.93,0.62
1930,36001,Albany County,202518,1927,105,186106,1.09,0.61
1920,36001,Albany County,278231,2946,94,186106,1.50,0.83
1910,36001,Albany County,289829,3146,92,,,0.87
1925,36001,Albany County,246145,2661,93,,,0.74
1935,36001,Albany County,213709,2204,97,,,0.64
1945,36001,Albany County,202515,1760,115,,,0.61
1954,36001,Albany County,152088,1175,129,,,0.45
1959,36001,Albany County,136013,964,141,,,0.41
1964,36001,Albany County,120741,767,157,,,0.36
1969,36001,Albany County,86156,574,150,,,0.26
2007,36003,Allegany County,150832,847,178,49079,3.07,0.23
2012,36003,Allegany County,150383,784,192,48221,3.12,0.23
1997,36003,Allegany County,157744,724,218,50325,3.13,0.24
1992,36003,Allegany County,161643,682,237,50967,3.17,0.25
2017,36003,Allegany County,161713,789,205,46669,3.47,0.25
2002,36003,Allegany County,180169,867,208,50014,3.60,0.27
1987,36003,Allegany County,193436,798,242,49768,3.89,0.29
1982,36003,Allegany County,215657,961,224,51640,4.18,0.33
1978,36003,Allegany County,231367,899,257,52207,4.43,0.35
1974,36003,Allegany County,235182,986,239,50539,4.65,0.36
1950,36003,Allegany County,416425,2604,160,39681,10.49,0.63
1940,36003,Allegany County,442088,3018,146,39681,11.14,0.67
1930,36003,Allegany County,504876,3375,150,36842,13.70,0.77
1920,36003,Allegany County,566280,4405,129,36842,15.37,0.86
1910,36003,Allegany County,585615,4937,119,,,0.89
1925,36003,Allegany County,545479,4203,130,,,0.83
1935,36003,Allegany County,480715,3777,127,,,0.73
1945,36003,Allegany County,455964,3068,149,,,0.69
1954,36003,Allegany County,388142,2180,178,,,0.59
1959,36003,Allegany County,340509,1718,198,,,0.52
1964,36003,Allegany County,324775,1538,211,,,0.49
1969,36003,Allegany County,254489,1112,229,,,0.39
1982,36005,Bronx County,0,3,0,1164329,0.00,0.00
1987,36005,Bronx County,0,1,0,1210712,0.00,0.00
2007,36005,Bronx County,0,1,0,1354056,0.00,0.00
2012,36005,Bronx County,0,1,0,1411087,0.00,0.00
1992,36005,Bronx County,0,0,0,1223153,0.00,0.00
1997,36005,Bronx County,0,0,0,1285683,0.00,0.00
2002,36005,Bronx County,0,0,0,1358739,0.00,0.00
2017,36005,Bronx County,0,0,0,1439956,0.00,0.00
1978,36005,Bronx County,3,2,2,1220935,0.00,0.00
1974,36005,Bronx County,9,5,2,1381621,0.00,0.00
1940,36005,Bronx County,144,21,7,1394711,0.00,0.01
1950,36005,Bronx County,235,19,12,1394711,0.00,0.01
1930,36005,Bronx County,172,15,11,732016,0.00,0.01
1920,36005,Bronx County,1252,55,23,732016,0.00,0.05
1910,36005,Bronx County,1252,69,18,,,0.05
1925,36005,Bronx County,738,41,18,,,0.03
1945,36005,Bronx County,177,23,8,,,0.01
1954,36005,Bronx County,174,13,13,,,0.01
1935,36005,Bronx County,83,20,4,,,0.00
1959,36005,Bronx County,71,8,9,,,0.00
1969,36005,Bronx County,9,0,0,,,0.00
1964,36005,Bronx County,7,6,1,,,0.00
2017,36007,Broome County,62467,494,126,193255,0.32,0.14
2012,36007,Broome County,79676,563,142,198689,0.40,0.18
1997,36007,Broome County,85804,511,168,202053,0.42,0.19
2007,36007,Broome County,86613,580,149,200877,0.43,0.19
